trip_id,date,start_time,end_time
trip_146,0040-04-06,06:09:00,07:36:00
trip_188,0040-06-20,09:00:00,21:00:00
trip_33,0040-06-04,07:00:00,19:00:00
trip_47,0040-04-10,06:38:00,09:31:00
trip_177,0040-04-01,09:00:00,21:00:00
trip_274,0040-05-10,07:06:00,08:57:00
trip_20,0040-05-27,06:07:00,13:00:00
trip_65,0040-05-23,06:19:00,08:27:00
trip_114,0040-05-14,07:31:00,10:21:00
trip_227,0040-07-16,07:28:00,08:00:00
trip_224,0040-05-18,07:08:00,07:37:00
trip_106,0040-04-19,07:00:00,19:00:00
trip_267,0040-04-08,07:53:00,09:48:00
trip_116,0040-06-01,07:07:00,13:00:00
trip_22,0040-06-03,07:46:00,09:33:00
trip_138,0040-05-28,07:15:00,08:40:00
trip_178,0040-06-22,07:00:00,19:00:00
trip_149,0040-05-06,14:00:00,19:00:00
trip_0,0040-04-24,09:00:00,21:00:00
trip_11,0040-07-10,09:00:00,21:00:00
trip_12,2040-07-08,10:50:00,11:39:00
trip_14,2040-04-22,06:18:00,07:12:00
trip_38,2040-04-14,09:00:00,21:00:00
trip_44,2040-06-07,09:00:00,21:00:00
trip_56,0040-06-05,09:00:00,21:43:00
trip_63,2040-05-14,09:00:00,21:00:00
trip_76,2040-05-24,09:00:00,21:00:00
trip_94,2040-07-15,09:00:00,21:00:00
trip_97,2040-06-05,09:00:00,21:00:00
trip_101,2040-07-06,09:00:00,21:00:00
trip_105,0040-06-26,09:00:00,21:00:00
trip_115,2040-07-17,09:00:00,21:00:00
trip_118,2040-05-20,09:00:00,21:00:00
trip_121,0040-06-12,09:00:00,21:00:00
trip_122,2040-06-18,07:03:00,07:03:00
trip_131,2040-04-02,09:00:00,21:00:00
trip_145,0040-04-17,09:00:00,21:44:00
trip_155,2040-04-23,06:13:00,08:11:00
trip_157,2040-07-03,09:00:00,21:00:00
trip_163,2040-07-29,06:21:00,08:06:00
trip_166,2040-04-30,09:00:00,21:00:00
trip_169,2040-04-11,09:00:00,21:00:00
trip_170,2040-04-15,07:19:00,09:19:00
trip_173,2040-06-28,09:00:00,21:00:00
trip_186,2040-06-17,09:00:00,21:00:00
trip_187,2040-06-06,09:00:00,21:00:00
trip_204,2040-03-31,06:00:00,07:37:00
trip_205,0040-07-03,09:00:00,21:00:00
trip_210,2040-07-24,09:00:00,21:00:00
trip_215,0040-05-08,09:00:00,21:00:00
trip_219,2040-06-10,08:35:00,09:17:00
trip_228,2040-04-19,09:00:00,21:00:00
trip_229,2040-06-24,08:07:00,09:20:00
trip_230,0040-05-01,13:00:00,06:46:00
trip_231,2040-06-01,09:00:00,21:00:00
trip_233,2040-06-12,07:54:00,07:54:00
trip_241,2040-06-26,08:56:00,08:56:00
